# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-04-24 22:40:08 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01646000 DIFFICULT RUN NEAR GREAT FALLS, VA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01646000
#            TS   parameter     statistic     Description
#        144806       00010     00001     Temperature, water, degrees Celsius (Maximum)
#        144807       00010     00002     Temperature, water, degrees Celsius (Minimum)
#        144808       00010     00003     Temperature, water, degrees Celsius (Mean)
#        144809       00010     00008     Temperature, water, degrees Celsius (Median)
#        144810       00095     00001     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Maximum)
#        144811       00095     00002     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Minimum)
#        144812       00095     00003     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean)
#        144813       00095     00008     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Median)
#        144814       00400     00001     pH, water, unfiltered, field, standard units (Maximum)
#        144815       00400     00002     pH, water, unfiltered, field, standard units (Minimum)
#        144816       00400     00008     pH, water, unfiltered, field, standard units (Median)
#        144821       00300     00001     Dissolved oxygen, water, unfiltered, milligrams per liter (Maximum)
#        144822       00300     00002     Dissolved oxygen, water, unfiltered, milligrams per liter (Minimum)
#        144823       00300     00003     Dissolved oxygen, water, unfiltered, milligrams per liter (Mean)
#        144824       00300     00008     Dissolved oxygen, water, unfiltered, milligrams per liter (Median)
#        144825       99133     00001     Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen (Maximum)
#        144826       99133     00002     Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen (Minimum)
#        144827       99133     00008     Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen (Median)
#        214399       63680     00002     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Minimum), [(2)]
#        214400       63680     00003     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Mean)
#        214401       63680     00008     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Median), [(2)]
#        214402       63680     00001     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Maximum), [(2)]
#        306220       63680     00008     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Median)
#        306221       63680     00001     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Maximum)
#        306222       63680     00002     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Minimum)
#        323839       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
#     4  Statistic computed from less than expected number of instantaneous values for the period
# 
agency_cd	site_no	datetime	144806_00010_00001	144806_00010_00001_cd	144807_00010_00002	144807_00010_00002_cd	144809_00010_00008	144809_00010_00008_cd	144810_00095_00001	144810_00095_00001_cd	144811_00095_00002	144811_00095_00002_cd	144813_00095_00008	144813_00095_00008_cd	144814_00400_00001	144814_00400_00001_cd	144815_00400_00002	144815_00400_00002_cd	144816_00400_00008	144816_00400_00008_cd	144821_00300_00001	144821_00300_00001_cd	144822_00300_00002	144822_00300_00002_cd	144824_00300_00008	144824_00300_00008_cd	144825_99133_00001	144825_99133_00001_cd	144826_99133_00002	144826_99133_00002_cd	144827_99133_00008	144827_99133_00008_cd	306220_63680_00008	306220_63680_00008_cd	306221_63680_00001	306221_63680_00001_cd	306222_63680_00002	306222_63680_00002_cd	323839_00060_00003	323839_00060_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	01646000	2022-04-24	19.6	A	15.6	A	17.3	A	319	A	305	A	312	A	7.6	A	7.2	A	7.4	A	10.3	A	8.6	A	9.2	A							1.4	A	2.0	A	1.2	A	35.7	A
USGS	01646000	2022-04-25	18.7	A	16.4	A	17.8	A	316	A	305	A	311	A	7.6	A	7.2	A	7.4	A	10.2	A	8.5	A	9.0	A							1.3	A	1.7	A	1.0	A	33.8	A
USGS	01646000	2022-04-26	17.7	A:[4]	16.2	A:[4]	17.1	A:[4]	321	A:[4]	303	A:[4]	313	A:[4]	7.5	A:[4]	7.3	A:[4]	7.3	A:[4]	10.0	A:[4]	8.6	A:[4]	9.0	A:[4]													35.3	A:e
USGS	01646000	2022-04-27	16.2	A:[4]	13.4	A:[4]	14.6	A:[4]	334	A:[4]	321	A:[4]	328	A:[4]	7.6	A:[4]	7.3	A:[4]	7.4	A:[4]	10.7	A:[4]	9.0	A:[4]	9.9	A:[4]	1.98	A	1.92	A	1.95	A			1.7	A:[4]	1.1	A:[4]	37.3	A
USGS	01646000	2022-04-28	14.5	A	11.4	A	13.1	A	333	A	323	A	329	A	7.6	A	7.3	A	7.4	A	11.2	A	9.7	A	10.2	A	2.06	A	1.98	A	2.02	A	1.4	A	3.9	A	1.1	A	31.3	A
USGS	01646000	2022-04-29	14.7	A	11.2	A	13.0	A	329	A	308	A	316	A	7.6	A	7.3	A	7.4	A	11.2	A	9.9	A	10.3	A	2.15	A	2.03	A	2.11	A	1.4	A	5.7	A	1.0	A	29.1	A
USGS	01646000	2022-04-30	14.8	A	11.5	A	13.0	A	315	A	305	A	309	A	7.6	A	7.3	A	7.4	A	11.3	A	9.8	A	10.2	A	2.19	A	2.12	A	2.17	A	1.4	A	2.3	A	1.1	A	28.1	A
USGS	01646000	2022-05-01	13.7	A	12.9	A	13.5	A	335	A	288	A	309	A	7.5	A	7.3	A	7.4	A	10.8	A	9.7	A	10.1	A	2.26	A	2.10	A	2.19	A	1.5	A	4.9	A	1.1	A	35.1	A
USGS	01646000	2022-05-02	17.3	A	12.9	A	15.2	A	360	A	316	A	324	A	7.5	A	7.3	A	7.4	A	10.5	A	8.9	A	9.8	A	2.10	A	1.95	A	1.99	A	1.9	A	3.1	A	1.6	A	40.7	A
USGS	01646000	2022-05-03	16.7	A	15.2	A	16.0	A	325	A	299	A	321	A	7.5	A	7.3	A	7.4	A	10.3	A	8.8	A	9.3	A	2.01	A	1.86	A	1.98	A	1.5	A	14.8	A	1.2	A	33.3	A
USGS	01646000	2022-05-04	17.3	A	15.3	A	16.0	A	304	A	152	A	218	A	7.4	A	6.9	A	7.2	A	9.4	A	8.7	A	9.0	A	1.93	A	0.72	A	0.92	A	65.0	A	324	A	6.4	A	301	A
USGS	01646000	2022-05-05	16.9	A	15.2	A	16.1	A	257	A	225	A	226	A	7.3	A	7.2	A	7.2	A	9.6	A	9.0	A	9.3	A	1.22	A	0.96	A	1.01	A	9.0	A	20.1	A	5.8	A	62.5	A
USGS	01646000	2022-05-06	16.2	A	14.7	A	15.3	A	294	A	217	A	260	A	7.4	A	7.2	A	7.3	A	9.6	A	8.9	A	9.3	A	1.71	A	1.12	A	1.38	A	13.0	A	79.9	A	4.8	A	120	A
USGS	01646000	2022-05-07	14.7	A	12.8	A	13.4	A	217	A:[4]	114	A:[4]	144	A:[4]	7.2	A	6.7	A	6.9	A	9.8	A	8.6	A	9.3	A	1.12	A	0.48	A	0.66	A	128	A:[4]	691	A:[4]	52.1	A:[4]	1230	A
USGS	01646000	2022-05-08	12.9	A	11.8	A	12.3	A	213	A	164	A	190	A	7.2	A	7.0	A	7.1	A	10.4	A	9.8	A	10.2	A	1.09	A	0.75	A	0.94	A	25.0	A	52.1	A	14.3	A	208	A
USGS	01646000	2022-05-09	15.0	A	10.4	A	12.8	A	238	A	208	A	212	A	7.3	A	7.2	A	7.2	A	10.8	A	9.8	A	10.4	A	1.42	A	1.09	A	1.22	A	9.4	A	14.9	A	8.0	A	87.5	A
USGS	01646000	2022-05-10	16.2	A	12.0	A	13.7	A	251	A	238	A	244	A	7.3	A	7.2	A	7.2	A	10.5	A	9.5	A	10.0	A	1.82	A	1.42	A	1.68	A	5.3	A	8.6	A	4.1	A	64.1	A
