# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-04-24 12:14:16 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 02035000 JAMES RIVER AT CARTERSVILLE, VA
# -----------------------------------------------------------------------------------
#
# Data provided for site 02035000
#            TS   parameter     statistic     Description
#        145277       99133     00001     Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen (Maximum)
#        145278       99133     00002     Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen (Minimum)
#        145279       99133     00008     Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen (Median)
#        145280       00060     00003     Discharge, cubic feet per second (Mean)
#        145281       80154     00003     Suspended sediment concentration, milligrams per liter (Mean)
#        145282       80155     00003     Suspended sediment discharge, short tons per day (Mean)
#        145283       00650     00001     Phosphate, water, unfiltered, milligrams per liter as PO4 (Maximum)
#        145284       00650     00002     Phosphate, water, unfiltered, milligrams per liter as PO4 (Minimum)
#        145285       00650     00008     Phosphate, water, unfiltered, milligrams per liter as PO4 (Median)
#        145286       00010     00001     Temperature, water, degrees Celsius (Maximum)
#        145287       00010     00002     Temperature, water, degrees Celsius (Minimum)
#        145288       00010     00008     Temperature, water, degrees Celsius (Median)
#        145289       00010     00011     Temperature, water, degrees Celsius (Instantaneous)
#        145290       00095     00001     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Maximum)
#        145291       00095     00002     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Minimum)
#        145292       00095     00008     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Median)
#        145293       00095     00011     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Instantaneous)
#        145294       00300     00001     Dissolved oxygen, water, unfiltered, milligrams per liter (Maximum)
#        145295       00300     00002     Dissolved oxygen, water, unfiltered, milligrams per liter (Minimum)
#        145296       00300     00008     Dissolved oxygen, water, unfiltered, milligrams per liter (Median)
#        145297       00400     00001     pH, water, unfiltered, field, standard units (Maximum)
#        145298       00400     00002     pH, water, unfiltered, field, standard units (Minimum)
#        145299       00400     00008     pH, water, unfiltered, field, standard units (Median)
#        241304       63680     00008     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Median)
#        241305       63680     00002     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Minimum)
#        241306       63680     00001     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Maximum)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
#     4  Statistic computed from less than expected number of instantaneous values for the period
# 
agency_cd	site_no	datetime	145277_99133_00001	145277_99133_00001_cd	145278_99133_00002	145278_99133_00002_cd	145279_99133_00008	145279_99133_00008_cd	145280_00060_00003	145280_00060_00003_cd	145286_00010_00001	145286_00010_00001_cd	145287_00010_00002	145287_00010_00002_cd	145288_00010_00008	145288_00010_00008_cd	145290_00095_00001	145290_00095_00001_cd	145291_00095_00002	145291_00095_00002_cd	145292_00095_00008	145292_00095_00008_cd	145294_00300_00001	145294_00300_00001_cd	145295_00300_00002	145295_00300_00002_cd	145296_00300_00008	145296_00300_00008_cd	145297_00400_00001	145297_00400_00001_cd	145298_00400_00002	145298_00400_00002_cd	145299_00400_00008	145299_00400_00008_cd	241304_63680_00008	241304_63680_00008_cd	241305_63680_00002	241305_63680_00002_cd	241306_63680_00001	241306_63680_00001_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	02035000	2022-04-24	0.14	A	0.09	A	0.11	A	6800	A	20.5	A	18.3	A	19.2	A	151	A	144	A	148	A	9.4	A	8.9	A	9.1	A	8.0	A	7.9	A	7.9	A	5.9	A	4.6	A	7.5	A
USGS	02035000	2022-04-25	0.12	A	0.07	A	0.09	A	6380	A	21.8	A	19.9	A	20.6	A	149	A	140	A	143	A	9.0	A	8.5	A	8.7	A	8.0	A	7.8	A	7.9	A	5.5	A	4.5	A	7.4	A
USGS	02035000	2022-04-26	0.14	A	0.06	A	0.08	A	6200	A	21.7	A	19.9	A	20.9	A	140	A	123	A	134	A	8.7	A	7.9	A	8.4	A	7.9	A	7.5	A	7.9	A	5.8	A	4.4	A	49.8	A
USGS	02035000	2022-04-27	0.14	A	0.05	A	0.09	A	6420	A	20.3	A	18.8	A	19.5	A	127	A	121	A	124	A	8.6	A	7.7	A	8.1	A	7.7	A	7.4	A	7.6	A	9.8	A:[4]	6.4	A:[4]	30.8	A:[4]
USGS	02035000	2022-04-28	0.08	A	0.05	A	0.06	A	5900	A	19.3	A	17.9	A	18.6	A	124	A	120	A	122	A	9.3	A	8.4	A	8.8	A	7.9	A	7.6	A	7.7	A	5.0	A	3.8	A	6.6	A
USGS	02035000	2022-04-29	0.09	A	0.03	A	0.06	A	5200	A	18.9	A	17.1	A	18.0	A	125	A	122	A	124	A	9.8	A	8.7	A	9.2	A	8.1	A	7.7	A	7.8	A	3.9	A	3.2	A	5.3	A
USGS	02035000	2022-04-30	0.10	A	0.02	A	0.04	A	4740	A	18.0	A	17.2	A	17.7	A	128	A	125	A	126	A	9.6	A	8.8	A	9.2	A	8.1	A	7.8	A	7.9	A	3.3	A	2.7	A	4.0	A
USGS	02035000	2022-05-01							4540	A	18.4	A	17.0	A	17.6	A	130	A	127	A	128	A	9.9	A	8.8	A	9.3	A	8.2	A	7.7	A	7.9	A	3.5	A	3.0	A	6.5	A
USGS	02035000	2022-05-02							4360	A	20.6	A	17.9	A	19.0	A	130	A	127	A	129	A	10.1	A	8.7	A	9.2	A	8.4	A	7.7	A	7.9	A	3.2	A	2.7	A	5.6	A
USGS	02035000	2022-05-03							4250	A	21.1	A	19.6	A	20.0	A	135	A	128	A	132	A	9.7	A	8.3	A	8.8	A	8.4	A	7.7	A	7.9	A	3.3	A	2.8	A	4.5	A
USGS	02035000	2022-05-04	0.04	A	0.02	A	0.03	A	4020	A	23.1	A	20.7	A	21.7	A	144	A	135	A	139	A	9.6	A	7.8	A	8.6	A	8.6	A	7.7	A	7.9	A	3.2	A	2.9	A	10.0	A
USGS	02035000	2022-05-05	0.04	A	0.02	A	0.03	A	4110	A	22.5	A	21.4	A	22.0	A	146	A	142	A	143	A	9.2	A	7.5	A	8.2	A	8.3	A	7.6	A	7.8	A	3.6	A	3.3	A	6.3	A
USGS	02035000	2022-05-06	0.10	A	0.04	A	0.06	A	3950	A	21.4	A	20.6	A	21.0	A	144	A	142	A	142	A	8.8	A	7.6	A	8.1	A	8.1	A	7.6	A	7.7	A	3.7	A	3.2	A	10.6	A
USGS	02035000	2022-05-07	0.15	A	0.06	A	0.09	A	5240	A	20.6	A	17.8	A	19.8	A	144	A	111	A	141	A	8.3	A	7.5	A	8.0	A	7.7	A	7.3	A	7.6	A	5.2	A	4.5	A	15.1	A
USGS	02035000	2022-05-08	0.24	A	0.13	A	0.18	A	6900	A	17.8	A	15.7	A	16.4	A	111	A	101	A	103	A	8.7	A	8.0	A	8.1	A	7.4	A	7.3	A	7.4	A	25.4	A	14.7	A	47.8	A
USGS	02035000	2022-05-09							13500	A	17.5	A	15.2	A	15.7	A	180	A	104	A	154	A	9.1	A	8.5	A	8.9	A	7.8	A	7.4	A	7.7	A	32.1	A	17.2	A	47.6	A
USGS	02035000	2022-05-10							13200	A	17.9	A	16.9	A	17.5	A	181	A	162	A	168	A	8.7	A	8.5	A	8.6	A	7.8	A	7.7	A	7.7	A	24.1	A	17.1	A	45.0	A
USGS	02035000	2022-05-11							11300	A	17.9	A	17.0	A	17.8	A	162	A	116	A	136	A	8.8	A	8.7	A	8.7	A	7.7	A	7.5	A	7.5	A			17.2	A:[4]	24.6	A:[4]
USGS	02035000	2022-05-12	0.25	A	0.23	A	0.24	A	10000	A	18.0	A	17.6	A	17.8	A	116	A	112	A	115	A	8.8	A	8.6	A	8.6	A	7.5	A	7.5	A	7.5	A			13.8	A:[4]	16.3	A:[4]
USGS	02035000	2022-05-13	0.25	A	0.22	A	0.23	A	8040	A	18.7	A	17.9	A	18.2	A	117	A	110	A	113	A	8.6	A	8.5	A	8.6	A	7.5	A	7.4	A	7.5	A	12.2	A	10.4	A	18.7	A
USGS	02035000	2022-05-14	0.28	A	0.20	A	0.22	A	8460	A	19.2	A	18.6	A	18.9	A	116	A	76	A	115	A	8.5	A	7.6	A	8.4	A	7.5	A	7.0	A	7.5	A	10.2	A	8.6	A	126	A
USGS	02035000	2022-05-15	0.28	A	0.25	A	0.26	A	9360	A	20.3	A	18.5	A	19.4	A	83	A	74	A	79	A	8.0	A	7.6	A	7.9	A	7.2	A	7.0	A	7.1	A	95.6	A	63.6	A	144	A
USGS	02035000	2022-05-16	0.29	A	0.25	A	0.26	A	8500	A	21.5	A	20.0	A	20.5	A	86	A	80	A	83	A	8.0	A	7.5	A	7.7	A	7.2	A	7.1	A	7.2	A	47.7	A	38.1	A	78.1	A
USGS	02035000	2022-05-17	0.27	A	0.23	A	0.24	A	7550	A	21.9	A	19.9	A	20.7	A	101	A	82	A	93	A	7.9	A	7.8	A	7.8	A	7.4	A	7.2	A	7.3	A	25.9	A	18.6	A	52.9	A
USGS	02035000	2022-05-18	0.26	A	0.23	A	0.25	A	6640	A	22.1	A	20.8	A	21.4	A	112	A	101	A	105	A	7.9	A	7.8	A	7.8	A	7.5	A	7.4	A	7.4	A	20.6	A	17.2	A	30.9	A
USGS	02035000	2022-05-19	0.26	A	0.23	A	0.25	A	5830	A	23.8	A	21.4	A	22.2	A	117	A	112	A	114	A	7.9	A	7.7	A	7.8	A	7.5	A	7.5	A	7.5	A	14.8	A	11.6	A	23.6	A
USGS	02035000	2022-05-20	0.24	A	0.19	A	0.23	A	5090	A	25.3	A	22.7	A	23.6	A	119	A	114	A	117	A	7.7	A	7.4	A	7.6	A	7.6	A	7.5	A	7.6	A	11.9	A	9.6	A	16.7	A
USGS	02035000	2022-05-21							4560	A	26.7	A	24.4	A	25.4	A	121	A	118	A	121	A	7.6	A	7.2	A	7.4	A	7.7	A	7.5	A	7.6	A	8.7	A	7.3	A	13.6	A
USGS	02035000	2022-05-22							4230	A	27.7	A	25.6	A	26.4	A	126	A	121	A	124	A	7.4	A	7.1	A	7.2	A	7.8	A	7.5	A	7.7	A	7.9	A	6.2	A	20.4	A
USGS	02035000	2022-05-23							3770	A	27.0	A	24.2	A	25.9	A	127	A	122	A	126	A	7.3	A	6.9	A	7.2	A	7.8	A	7.5	A	7.6	A	6.1	A	5.2	A	7.6	A
