# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-04-24 12:12:48 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01632900 SMITH CREEK NEAR NEW MARKET, VA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01632900
#            TS   parameter     statistic     Description
#        144686       00060     00003     Discharge, cubic feet per second (Mean)
#        144687       00010     00001     Temperature, water, degrees Celsius (Maximum)
#        144688       00010     00002     Temperature, water, degrees Celsius (Minimum)
#        144689       00010     00008     Temperature, water, degrees Celsius (Median)
#        144690       00095     00001     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Maximum)
#        144691       00095     00002     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Minimum)
#        144692       00095     00008     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Median)
#        144693       00400     00001     pH, water, unfiltered, field, standard units (Maximum)
#        144694       00400     00002     pH, water, unfiltered, field, standard units (Minimum)
#        144695       00400     00008     pH, water, unfiltered, field, standard units (Median)
#        144699       00300     00001     Dissolved oxygen, water, unfiltered, milligrams per liter (Maximum)
#        144700       00300     00002     Dissolved oxygen, water, unfiltered, milligrams per liter (Minimum)
#        144701       00300     00008     Dissolved oxygen, water, unfiltered, milligrams per liter (Median)
#        144702       99133     00001     Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen (Maximum)
#        144703       99133     00002     Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen (Minimum)
#        144704       99133     00008     Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen (Median)
#        214378       63680     00008     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Median)
#        214379       63680     00002     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Minimum)
#        214380       63680     00001     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Maximum)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	144686_00060_00003	144686_00060_00003_cd	144687_00010_00001	144687_00010_00001_cd	144688_00010_00002	144688_00010_00002_cd	144689_00010_00008	144689_00010_00008_cd	144690_00095_00001	144690_00095_00001_cd	144691_00095_00002	144691_00095_00002_cd	144692_00095_00008	144692_00095_00008_cd	144693_00400_00001	144693_00400_00001_cd	144694_00400_00002	144694_00400_00002_cd	144695_00400_00008	144695_00400_00008_cd	144699_00300_00001	144699_00300_00001_cd	144700_00300_00002	144700_00300_00002_cd	144701_00300_00008	144701_00300_00008_cd	144702_99133_00001	144702_99133_00001_cd	144703_99133_00002	144703_99133_00002_cd	144704_99133_00008	144704_99133_00008_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	01632900	2022-04-24	78.1	A	20.4	A	16.5	A	18.4	A	423	A	411	A	420	A	8.5	A	8.1	A	8.3	A	12.1	A	8.2	A	9.1	A						
USGS	01632900	2022-04-25	73.3	A	21.3	A	18.2	A	19.7	A	426	A	408	A	424	A	8.5	A	8.0	A	8.3	A	11.8	A	7.7	A	8.6	A						
USGS	01632900	2022-04-26	72.0	A	20.0	A	16.4	A	18.5	A	436	A	406	A	432	A	8.2	A	8.0	A	8.1	A	9.4	A	7.5	A	8.4	A						
USGS	01632900	2022-04-27	71.9	A	16.7	A	14.3	A	15.4	A	453	A	434	A	450	A	8.5	A	8.1	A	8.4	A	12.0	A	8.3	A	9.8	A						
USGS	01632900	2022-04-28	65.0	A	15.5	A	12.6	A	14.0	A	447	A	434	A	438	A	8.5	A	8.2	A	8.4	A	12.5	A	9.1	A	10.3	A						
USGS	01632900	2022-04-29	60.9	A	15.5	A	12.1	A	13.8	A	443	A	421	A	435	A	8.5	A	8.2	A	8.4	A	12.9	A	9.4	A	10.4	A						
USGS	01632900	2022-04-30	57.9	A	15.2	A	12.9	A	14.2	A	445	A	418	A	431	A	8.6	A	8.2	A	8.4	A	13.1	A	9.2	A	10.4	A						
USGS	01632900	2022-05-01	58.8	A	16.0	A	13.8	A	14.8	A	446	A	420	A	430	A	8.5	A	8.1	A	8.3	A	12.0	A	9.0	A	10.0	A						
USGS	01632900	2022-05-02	57.6	A	19.2	A	15.2	A	17.2	A	452	A	428	A	438	A	8.6	A	8.1	A	8.3	A	12.6	A	8.3	A	9.4	A						
USGS	01632900	2022-05-03	52.9	A	19.6	A	16.4	A	17.8	A	451	A	427	A	436	A	8.5	A	8.0	A	8.3	A	12.5	A	7.9	A	9.1	A						
USGS	01632900	2022-05-04	70.4	A	20.6	A	18.3	A	19.3	A	445	A	401	A	422	A	8.4	A	8.0	A	8.2	A	10.6	A	7.3	A	8.2	A						
USGS	01632900	2022-05-05	61.3	A	19.2	A	17.9	A	18.6	A	450	A	431	A	439	A	8.4	A	8.0	A	8.2	A	11.3	A	7.3	A	8.4	A						
USGS	01632900	2022-05-06	59.6	A	18.5	A	16.7	A	18.0	A	449	A	394	A	439	A	8.2	A	8.0	A	8.1	A	8.6	A	7.4	A	7.9	A						
USGS	01632900	2022-05-07	219	A	16.7	A	13.1	A	14.4	A	394	A	326	A	350	A	8.0	A	7.9	A	7.9	A	9.1	A	8.0	A	8.8	A						
USGS	01632900	2022-05-08	166	A	13.1	A	11.6	A	12.2	A	375	A	350	A	363	A	8.1	A	7.9	A	8.0	A	10.1	A	9.1	A	9.8	A						
USGS	01632900	2022-05-09	119	A	13.9	A	10.7	A	12.5	A	393	A	353	A	372	A	8.2	A	8.0	A	8.1	A	10.8	A	9.4	A	10.0	A						
USGS	01632900	2022-05-10	98.0	A	15.8	A	12.3	A	14.2	A	418	A	393	A	406	A	8.2	A	8.1	A	8.1	A	10.6	A	9.0	A	9.6	A						
USGS	01632900	2022-05-11	86.3	A	16.9	A	13.6	A	15.4	A	433	A	418	A	426	A	8.3	A	8.1	A	8.2	A	10.5	A	8.6	A	9.2	A						
