# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-04-24 22:42:38 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 0164578734 SNAKEDEN BRANCH ABOVE LAKE AUDUBON AT RESTON, VA
# -----------------------------------------------------------------------------------
#
# Data provided for site 0164578734
#            TS   parameter     statistic     Description
#        281725       00010     00002     Temperature, water, degrees Celsius (Minimum)
#        281726       00010     00001     Temperature, water, degrees Celsius (Maximum)
#        281755       99133     00002     Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen (Minimum)
#        281756       99133     00001     Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen (Maximum)
#        281757       63680     00001     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Maximum)
#        281758       00010     00008     Temperature, water, degrees Celsius (Median)
#        281759       00400     00002     pH, water, unfiltered, field, standard units (Minimum)
#        281760       00300     00001     Dissolved oxygen, water, unfiltered, milligrams per liter (Maximum)
#        281761       63680     00008     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Median)
#        281762       00095     00001     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Maximum)
#        281763       00095     00002     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Minimum)
#        281764       00400     00001     pH, water, unfiltered, field, standard units (Maximum)
#        281765       00095     00008     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Median)
#        281766       00300     00008     Dissolved oxygen, water, unfiltered, milligrams per liter (Median)
#        281767       00400     00008     pH, water, unfiltered, field, standard units (Median)
#        281768       99133     00008     Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen (Median)
#        281769       63680     00002     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Minimum)
#        298415       00060     00003     Discharge, cubic feet per second (Mean)
#        309253       00300     00002     Dissolved oxygen, water, unfiltered, milligrams per liter (Minimum)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     4  Statistic computed from less than expected number of instantaneous values for the period
# 
agency_cd	site_no	datetime	281725_00010_00002	281725_00010_00002_cd	281726_00010_00001	281726_00010_00001_cd	281755_99133_00002	281755_99133_00002_cd	281756_99133_00001	281756_99133_00001_cd	281757_63680_00001	281757_63680_00001_cd	281758_00010_00008	281758_00010_00008_cd	281759_00400_00002	281759_00400_00002_cd	281760_00300_00001	281760_00300_00001_cd	281761_63680_00008	281761_63680_00008_cd	281762_00095_00001	281762_00095_00001_cd	281763_00095_00002	281763_00095_00002_cd	281764_00400_00001	281764_00400_00001_cd	281765_00095_00008	281765_00095_00008_cd	281766_00300_00008	281766_00300_00008_cd	281767_00400_00008	281767_00400_00008_cd	281768_99133_00008	281768_99133_00008_cd	281769_63680_00002	281769_63680_00002_cd	298415_00060_00003	298415_00060_00003_cd	309253_00300_00002	309253_00300_00002_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	0164578734	2022-04-24	14.9	A	20.5	A					2.4	A	18.1	A	7.0	A	12.7	A	1.3	A	256	A	248	A	8.0	A	252	A	9.3	A	7.2	A			1.2	A	0.85	P	8.0	A
USGS	0164578734	2022-04-25	15.5	A	18.7	A					2.9	A	17.1	A	7.1	A	12.5	A	1.3	A	257	A	247	A	7.7	A	250	A	9.2	A	7.2	A			1.2	A	0.83	P	8.0	A
USGS	0164578734	2022-04-26	15.2	A	17.9	A					4.1	A	16.4	A	7.0	A	12.2	A	1.4	A	256	A	246	A	7.6	A	250	A	8.8	A	7.1	A			1.2	A	1.03	P	8.3	A
USGS	0164578734	2022-04-27	12.5	A	15.9	A	0.4	P:[4]	0.7	P:[4]	2.0	A:[4]	14.2	A	6.9	A	12.0	A	1.4	A:[4]	268	A	250	A	7.4	A	257	A	9.6	A	7.1	A			1.3	A:[4]	0.70	P	8.3	A
USGS	0164578734	2022-04-28	10.4	A	14.7	A					2.1	A	12.8	A	7.0	A	12.4	A	1.4	A	270	A	256	A	7.4	A	263	A	10.1	A	7.1	A			1.2	A	0.66	P	9.1	A
USGS	0164578734	2022-04-29	10.3	A	15.4	A					2.3	A	13.2	A	7.0	A	12.3	A	1.4	A	257	A	248	A	7.4	A	250	A	10.0	A	7.2	A			1.2	A	0.68	P	9.2	A
USGS	0164578734	2022-04-30	10.7	A	15.6	A					2.1	A	13.9	A	7.0	A	12.2	A	1.3	A	251	A	244	A	7.5	A	247	A	10.0	A	7.2	A			1.2	A	0.68	P	8.9	A
USGS	0164578734	2022-05-01	12.7	A	14.7	A					57.9	A	14.0	A	6.8	A	11.3	A	1.6	A	250	A	209	A	7.3	A	246	A	9.1	A	7.1	A			1.2	A	1.52	P	7.9	A
USGS	0164578734	2022-05-02	13.3	A	18.7	A					5.0	A	17.0	A	6.8	A	10.2	A	2.5	A	229	A	201	A	7.1	A	218	A	8.2	A	7.0	A			1.6	A	0.68	P	7.7	A
USGS	0164578734	2022-05-03	15.3	A:[4]	16.9	A:[4]	0.2	P:[4]	0.8	P:[4]	2.4	A	16.1	A:[4]	7.0	A:[4]	10.4	A:[4]	1.5	A	238	A:[4]	229	A:[4]	7.2	A:[4]	235	A:[4]							1.5	A			7.7	A:[4]
USGS	0164578734	2022-05-04	15.4	A:[4]	17.7	A:[4]	0.5	P:[4]	0.7	P:[4]	30.0	A:[4]	16.6	A:[4]	6.7	A	9.4	A	8.9	A:[4]	238	A:[4]	66	A:[4]	7.2	A	143	A:[4]	9.1	A	6.8	A			1.5	A:[4]			8.1	A
USGS	0164578734	2022-05-05	15.4	A	17.0	A	0.4	P	0.5	P	5.2	A	16.2	A	6.9	A	10.1	A	2.4	A	230	A	178	A	7.2	A	215	A	8.8	A	7.1	A	0.5	P	1.6	A	0.81	P	8.2	A
USGS	0164578734	2022-05-06	13.6	A	15.7	A	0.4	P:[4]	1.1	P:[4]	121	A	15.3	A	6.7	A	9.8	A	14.6	A	235	A	55	A	7.2	A	112	A	9.0	A	7.0	A	0.7	P:[4]	1.6	A	10.4	P	8.4	A
USGS	0164578734	2022-05-07	12.2	A	13.6	A					229	A	13.2	A	6.2	A	10.2	A	19.0	A	131	A	36	A	6.9	A	103	A	10.1	A	6.8	A			12.4	A	22.4	P	9.8	A
