# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-04-24 22:42:07 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 0164579522 THE GLADE NEAR HOWLAND DRIVE AT RESTON, VA
# -----------------------------------------------------------------------------------
#
# Data provided for site 0164579522
#            TS   parameter     statistic     Description
#        281779       00010     00001     Temperature, water, degrees Celsius (Maximum)
#        281780       00010     00002     Temperature, water, degrees Celsius (Minimum)
#        281797       00400     00002     pH, water, unfiltered, field, standard units (Minimum)
#        281798       00300     00008     Dissolved oxygen, water, unfiltered, milligrams per liter (Median)
#        281799       00400     00008     pH, water, unfiltered, field, standard units (Median)
#        281801       00400     00001     pH, water, unfiltered, field, standard units (Maximum)
#        281802       00300     00001     Dissolved oxygen, water, unfiltered, milligrams per liter (Maximum)
#        281803       00095     00008     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Median)
#        281804       00300     00002     Dissolved oxygen, water, unfiltered, milligrams per liter (Minimum)
#        281823       99133     00001     Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen (Maximum)
#        281824       63680     00002     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Minimum)
#        281825       63680     00001     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Maximum)
#        281826       99133     00008     Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen (Median)
#        281827       99133     00002     Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen (Minimum)
#        281828       63680     00008     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Median)
#        298416       00060     00003     Discharge, cubic feet per second (Mean)
#        323836       00095     00001     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Maximum)
#        323837       00010     00008     Temperature, water, degrees Celsius (Median)
#        323838       00095     00002     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Minimum)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     4  Statistic computed from less than expected number of instantaneous values for the period
# 
agency_cd	site_no	datetime	281779_00010_00001	281779_00010_00001_cd	281780_00010_00002	281780_00010_00002_cd	281797_00400_00002	281797_00400_00002_cd	281798_00300_00008	281798_00300_00008_cd	281799_00400_00008	281799_00400_00008_cd	281801_00400_00001	281801_00400_00001_cd	281802_00300_00001	281802_00300_00001_cd	281803_00095_00008	281803_00095_00008_cd	281804_00300_00002	281804_00300_00002_cd	281823_99133_00001	281823_99133_00001_cd	281824_63680_00002	281824_63680_00002_cd	281825_63680_00001	281825_63680_00001_cd	281826_99133_00008	281826_99133_00008_cd	281827_99133_00002	281827_99133_00002_cd	281828_63680_00008	281828_63680_00008_cd	298416_00060_00003	298416_00060_00003_cd	323836_00095_00001	323836_00095_00001_cd	323837_00010_00008	323837_00010_00008_cd	323838_00095_00002	323838_00095_00002_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	0164579522	2022-04-24	22.0	A	14.0	A	6.5	A	8.6	A	6.6	A	6.7	A	11.1	A	229	A	7.4	A	0.2	P	3.3	A	4.9	A	0.2	P	0.2	P	3.8	A	0.59	P	232	A	17.8	A	227	A
USGS	0164579522	2022-04-25	20.3	A	15.0	A	6.5	A	8.5	A	6.6	A	6.7	A	11.1	A	229	A	7.5	A	0.2	P	3.6	A	4.9	A	0.2	P	0.2	P	3.9	A	0.57	P	231	A	17.2	A	227	A
USGS	0164579522	2022-04-26	17.9	A	14.5	A	6.5	A	8.4	A	6.6	A	6.7	A	10.9	A	228	A	7.9	A	0.3	P	3.7	A	4.9	A	0.2	P	0.2	P	4.1	A	0.60	P	230	A	16.3	A	225	A
USGS	0164579522	2022-04-27	16.4	A	11.8	A	6.5	A	9.4	A	6.6	A	6.7	A	11.3	A	225	A	8.4	A	0.3	P	3.9	A	5.4	A	0.3	P	0.2	P	4.3	A	0.57	P	227	A	13.8	A	223	A
USGS	0164579522	2022-04-28	16.2	A	9.7	A	6.5	A	9.7	A	6.5	A	6.7	A	11.6	A	227	A	9.0	A	0.3	P	3.5	A	5.0	A	0.2	P	0.2	P	4.2	A	0.52	P	228	A	12.3	A	225	A
USGS	0164579522	2022-04-29	16.9	A	9.5	A	6.5	A	9.7	A	6.5	A	6.6	A	11.5	A	228	A	8.8	A	0.3	P	3.3	A	5.1	A	0.2	P	0.2	P	3.8	A	0.51	P	229	A	12.7	A	227	A
USGS	0164579522	2022-04-30	16.5	A	9.9	A	6.5	A:[4]	9.6	A	6.5	A:[4]	6.6	A:[4]	11.5	A	228	A	8.7	A	0.2	P	3.3	A	5.1	A	0.2	P	0.1	P	3.6	A	0.50	P	230	A	13.3	A	227	A
USGS	0164579522	2022-05-01	14.3	A	12.2	A	6.4	A	9.3	A	6.6	A	6.7	A	10.7	A	228	A	8.7	A	0.3	P	3.3	A	8.1	A	0.2	P	0.2	P	3.9	A	0.65	P	230	A	13.5	A	219	A
USGS	0164579522	2022-05-02	19.8	A	12.5	A	6.4	A	8.8	A	6.5	A	6.6	A	10.5	A	214	A	7.5	A	0.4	P	3.3	A	5.0	A	0.3	P	0.2	P	3.8	A	0.59	P	227	A	16.1	A	211	A
USGS	0164579522	2022-05-03	17.1	A	14.3	A	6.4	A	8.7	A	6.5	A	6.6	A	10.4	A	234	A	7.6	A	0.4	P	3.5	A	42.1	A	0.2	P	0.1	P	3.8	A	0.56	P	237	A	15.6	A	169	A
USGS	0164579522	2022-05-04	17.9	A	14.3	A	6.3	A	8.4	A	6.4	A	6.6	A	9.1	A	142	A	7.6	A	1.3	P:[4]	21.1	A	263	A	0.8	P:[4]	0.3	P:[4]	28.7	A	5.44	P	182	A	15.9	A	90	A
USGS	0164579522	2022-05-05	16.9	A	14.7	A	6.4	A	8.7	A	6.5	A	6.6	A	10.6	A	190	A	8.1	A	0.5	P:[4]	17.7	A	23.8	A			0.2	P:[4]	19.0	A	0.83	P	201	A	15.7	A	173	A
USGS	0164579522	2022-05-06	15.4	A	13.4	A	6.4	A	8.5	A	6.5	A	6.6	A	9.0	A	172	A	8.2	A	1.0	P	17.2	A	122	A	0.5	P	0.1	P	28.6	A	4.26	P	206	A	14.8	A	66	A
